timestamp_ms,epoch_s,cpu_percent,mem_used_kb,mem_available_kb,mem_total_kb
1773430934766,1773430934,3,560432,7567392,8127824
1773430935820,1773430935,87,567740,7560084,8127824
1773430936922,1773430936,75,567156,7560668,8127824
1773430937946,1773430937,25,602516,7525308,8127824
1773430942110,1773430942,25,597068,7530756,8127824
1773430946218,1773430946,25,613232,7514592,8127824
1773430951211,1773430951,25,611192,7516632,8127824
1773430955351,1773430955,25,609444,7518380,8127824
1773430958957,1773430958,25,611296,7516528,8127824
1773430962628,1773430962,25,612648,7515176,8127824
1773430969651,1773430969,25,614920,7512904,8127824
1773430973834,1773430973,25,609904,7517920,8127824
1773430978128,1773430978,25,614296,7513528,8127824
1773430981505,1773430981,25,610260,7517564,8127824
1773430985355,1773430985,25,612456,7515368,8127824
1773430988674,1773430988,25,608968,7518856,8127824
1773430992122,1773430992,25,613016,7514808,8127824
1773430997410,1773430997,29,614640,7513184,8127824
1773431001023,1773431001,26,616684,7511140,8127824
1773431004648,1773431004,25,617112,7510712,8127824
1773431008253,1773431008,25,612904,7514920,8127824
1773431011668,1773431011,25,618656,7509168,8127824
1773431015089,1773431015,25,615736,7512088,8127824
1773431018578,1773431018,25,618424,7509400,8127824
1773431021942,1773431021,25,601848,7525976,8127824
1773431025596,1773431025,26,600644,7527180,8127824
1773431032246,1773431032,25,604572,7523252,8127824
1773431035567,1773431035,25,601024,7526800,8127824
1773431038960,1773431038,25,599464,7528360,8127824
1773431042396,1773431042,25,600696,7527128,8127824
1773431045810,1773431045,25,609824,7518000,8127824
1773431049448,1773431049,29,613448,7514376,8127824
1773431052624,1773431052,25,595260,7532564,8127824
1773431055169,1773431055,25,601904,7525920,8127824
1773431059569,1773431059,24,605164,7522660,8127824
1773431062926,1773431062,25,610804,7517020,8127824
1773431066316,1773431066,25,611412,7516412,8127824
1773431069718,1773431069,23,610760,7517064,8127824
1773431073234,1773431073,26,613660,7514164,8127824
1773431076664,1773431076,25,615524,7512300,8127824
1773431080306,1773431080,25,614488,7513336,8127824
1773431083738,1773431083,25,614736,7513088,8127824
1773431087157,1773431087,25,609296,7518528,8127824
1773431093000,1773431093,25,613832,7513992,8127824
1773431095904,1773431095,26,613520,7514304,8127824
1773431098886,1773431098,25,612328,7515496,8127824
1773431102081,1773431102,25,613244,7514580,8127824
1773431105520,1773431105,25,612632,7515192,8127824
1773431108951,1773431108,25,613044,7514780,8127824
1773431112366,1773431112,25,613840,7513984,8127824
1773431115778,1773431115,25,615416,7512408,8127824
1773431120873,1773431120,25,616540,7511284,8127824
1773431123479,1773431123,25,616572,7511252,8127824
1773431126461,1773431126,24,613912,7513912,8127824
1773431129180,1773431129,25,611024,7516800,8127824
1773431131772,1773431131,25,606660,7521164,8127824
1773431134469,1773431134,26,609880,7517944,8127824
1773431137711,1773431137,26,597492,7530332,8127824
1773431141628,1773431141,25,614480,7513344,8127824
1773431145436,1773431145,25,615428,7512396,8127824
1773431149018,1773431149,25,616024,7511800,8127824
1773431154363,1773431154,25,596916,7530908,8127824
1773431157448,1773431157,25,599836,7527988,8127824
1773431160377,1773431160,25,602844,7524980,8127824
1773431163318,1773431163,25,601524,7526300,8127824
1773431166736,1773431166,51,603576,7524248,8127824
1773431170446,1773431170,75,598300,7529524,8127824
1773431174404,1773431174,74,603004,7524820,8127824
1773431178586,1773431178,75,603160,7524664,8127824
1773431184623,1773431184,75,606000,7521824,8127824
1773431188157,1773431188,75,597852,7529972,8127824
1773431191776,1773431191,75,599936,7527888,8127824
1773431195618,1773431195,100,605448,7522376,8127824
1773431200091,1773431200,100,612036,7515788,8127824
1773431204132,1773431204,100,613976,7513848,8127824
1773431208049,1773431208,100,619600,7508224,8127824
1773431215809,1773431215,100,618704,7509120,8127824
1773431219783,1773431219,100,618640,7509184,8127824
1773431223651,1773431223,100,619788,7508036,8127824
1773431227411,1773431227,100,620180,7507644,8127824
1773431231113,1773431231,100,621276,7506548,8127824
1773431234057,1773431234,100,616696,7511128,8127824
1773431237041,1773431237,100,621024,7506800,8127824
1773431239820,1773431239,100,620716,7507108,8127824
1773431242338,1773431242,100,621088,7506736,8127824
1773431246082,1773431246,100,621616,7506208,8127824
1773431248547,1773431248,100,623304,7504520,8127824
1773431251068,1773431251,100,622336,7505488,8127824
1773431253530,1773431253,100,620788,7507036,8127824
1773431255776,1773431255,100,622288,7505536,8127824
1773431258485,1773431258,100,623496,7504328,8127824
1773431261190,1773431261,100,623204,7504620,8127824
1773431263709,1773431263,100,623264,7504560,8127824
1773431266411,1773431266,100,623220,7504604,8127824
1773431268997,1773431268,100,622772,7505052,8127824
1773431271496,1773431271,100,621340,7506484,8127824
1773431275919,1773431275,100,622048,7505776,8127824
1773431278310,1773431278,100,620900,7506924,8127824
