timestamp_ms,epoch_s,cpu_percent,mem_used_kb,mem_available_kb,mem_total_kb
1773313404312,1773313404,1,516704,7611116,8127820
1773313405351,1773313405,9,521988,7605832,8127820
1773313406378,1773313406,26,522240,7605580,8127820
1773313407449,1773313407,28,522492,7605328,8127820
1773313408486,1773313408,25,522744,7605076,8127820
1773313409535,1773313409,26,522996,7604824,8127820
1773313410609,1773313410,25,523248,7604572,8127820
1773313411656,1773313411,25,523500,7604320,8127820
1773313412771,1773313412,25,523500,7604320,8127820
1773313413820,1773313413,26,523500,7604320,8127820
1773313414881,1773313414,26,523500,7604320,8127820
1773313415945,1773313415,25,523500,7604320,8127820
1773313416988,1773313416,27,523500,7604320,8127820
1773313418079,1773313418,26,523500,7604320,8127820
1773313419115,1773313419,27,523752,7604068,8127820
1773313420166,1773313420,26,524004,7603816,8127820
1773313421221,1773313421,28,524256,7603564,8127820
1773313422249,1773313422,27,524732,7603088,8127820
1773313423319,1773313423,26,531056,7596764,8127820
1773313424407,1773313424,27,536624,7591196,8127820
1773313425461,1773313425,26,535544,7592276,8127820
1773313426509,1773313426,25,533156,7594664,8127820
1773313427592,1773313427,27,526080,7601740,8127820
1773313428684,1773313428,26,532092,7595728,8127820
1773313429747,1773313429,24,525388,7602432,8127820
1773313430812,1773313430,26,531132,7596688,8127820
1773313431834,1773313431,26,537232,7590588,8127820
1773313432900,1773313432,25,530492,7597328,8127820
1773313433944,1773313433,27,536316,7591504,8127820
1773313435018,1773313435,25,528860,7598960,8127820
1773313436051,1773313436,25,534460,7593360,8127820
1773313437086,1773313437,28,530688,7597132,8127820
1773313438138,1773313438,24,530672,7597148,8127820
1773313439181,1773313439,25,527612,7600208,8127820
1773313440226,1773313440,26,537072,7590748,8127820
1773313441304,1773313441,27,535664,7592156,8127820
1773313442349,1773313442,24,535808,7592012,8127820
1773313443382,1773313443,26,535812,7592008,8127820
1773313444552,1773313444,25,525632,7602188,8127820
1773313445583,1773313445,25,526080,7601740,8127820
1773313446628,1773313446,26,529904,7597916,8127820
1773313447650,1773313447,25,536208,7591612,8127820
1773313448675,1773313448,25,531152,7596668,8127820
1773313449718,1773313449,25,532628,7595192,8127820
1773313450740,1773313450,27,534776,7593044,8127820
1773313451786,1773313451,25,536304,7591516,8127820
1773313452809,1773313452,25,534080,7593740,8127820
1773313453834,1773313453,25,527464,7600356,8127820
1773313454907,1773313454,25,529480,7598340,8127820
1773313455932,1773313455,25,532392,7595428,8127820
1773313456984,1773313456,28,535108,7592712,8127820
1773313458043,1773313458,26,537204,7590616,8127820
1773313459088,1773313459,26,538020,7589800,8127820
1773313460175,1773313460,25,537984,7589836,8127820
1773313461276,1773313461,25,538328,7589492,8127820
1773313462301,1773313462,25,538380,7589440,8127820
1773313463323,1773313463,25,538164,7589656,8127820
1773313464361,1773313464,26,538484,7589336,8127820
1773313465382,1773313465,25,538248,7589572,8127820
1773313466407,1773313466,25,538324,7589496,8127820
1773313467462,1773313467,25,538424,7589396,8127820
1773313468518,1773313468,25,538800,7589020,8127820
1773313469564,1773313469,25,539116,7588704,8127820
1773313470594,1773313470,25,539148,7588672,8127820
1773313471632,1773313471,23,539456,7588364,8127820
1773313472657,1773313472,26,539548,7588272,8127820
1773313473695,1773313473,25,539468,7588352,8127820
1773313474715,1773313474,25,539340,7588480,8127820
1773313475786,1773313475,25,539420,7588400,8127820
1773313476826,1773313476,25,539012,7588808,8127820
1773313477848,1773313477,25,539580,7588240,8127820
1773313478867,1773313478,25,540128,7587692,8127820
1773313479914,1773313479,25,539476,7588344,8127820
1773313480942,1773313480,25,539432,7588388,8127820
1773313481975,1773313481,25,539456,7588364,8127820
1773313482995,1773313482,25,539060,7588760,8127820
1773313484019,1773313484,25,539228,7588592,8127820
1773313485052,1773313485,25,539240,7588580,8127820
1773313486107,1773313486,25,539676,7588144,8127820
1773313487166,1773313487,25,539336,7588484,8127820
1773313488187,1773313488,25,539164,7588656,8127820
1773313489211,1773313489,25,539276,7588544,8127820
1773313490255,1773313490,25,539404,7588416,8127820
1773313491317,1773313491,26,539196,7588624,8127820
1773313492405,1773313492,26,539264,7588556,8127820
1773313493443,1773313493,25,539756,7588064,8127820
1773313494473,1773313494,26,539008,7588812,8127820
1773313495516,1773313495,25,539124,7588696,8127820
1773313496543,1773313496,25,538980,7588840,8127820
1773313497603,1773313497,25,538968,7588852,8127820
1773313498637,1773313498,25,539220,7588600,8127820
1773313499664,1773313499,25,539192,7588628,8127820
1773313500694,1773313500,25,539980,7587840,8127820
1773313501716,1773313501,25,539724,7588096,8127820
1773313502797,1773313502,25,540260,7587560,8127820
1773313503820,1773313503,25,540156,7587664,8127820
1773313504857,1773313504,25,539940,7587880,8127820
1773313505909,1773313505,25,540040,7587780,8127820
1773313506966,1773313506,28,539680,7588140,8127820
1773313508007,1773313508,25,539976,7587844,8127820
1773313509038,1773313509,25,539468,7588352,8127820
1773313510059,1773313510,25,539760,7588060,8127820
1773313511081,1773313511,25,539716,7588104,8127820
1773313512139,1773313512,24,539868,7587952,8127820
1773313513221,1773313513,23,539624,7588196,8127820
1773313514243,1773313514,25,542296,7585524,8127820
1773313515277,1773313515,25,542288,7585532,8127820
1773313516347,1773313516,25,541644,7586176,8127820
1773313517371,1773313517,25,541540,7586280,8127820
1773313518420,1773313518,27,541428,7586392,8127820
1773313519472,1773313519,26,540844,7586976,8127820
1773313520514,1773313520,24,541016,7586804,8127820
1773313521549,1773313521,24,540480,7587340,8127820
1773313522586,1773313522,25,539984,7587836,8127820
1773313523641,1773313523,26,539556,7588264,8127820
1773313524674,1773313524,25,539544,7588276,8127820
