timestamp_ms,epoch_s,cpu_percent,mem_used_kb,mem_available_kb,mem_total_kb
1773670962269,1773670962,1,528552,7599272,8127824
1773670963301,1773670963,2,528532,7599292,8127824
1773670964323,1773670964,1,528704,7599120,8127824
1773670965364,1773670965,25,565460,7562364,8127824
1773670966408,1773670966,51,603696,7524128,8127824
1773670967439,1773670967,47,594352,7533472,8127824
1773670971945,1773670971,48,633348,7494476,8127824
1773670975207,1773670975,60,632136,7495688,8127824
1773670978385,1773670978,50,630664,7497160,8127824
1773670981781,1773670981,50,630396,7497428,8127824
1773670986452,1773670986,50,632352,7495472,8127824
1773670990000,1773670990,54,631852,7495972,8127824
1773670993408,1773670993,49,635188,7492636,8127824
1773671000905,1773671000,25,634064,7493760,8127824
1773671003313,1773671003,50,633160,7494664,8127824
1773671005947,1773671005,56,633540,7494284,8127824
1773671008618,1773671008,61,633532,7494292,8127824
1773671011307,1773671011,26,633244,7494580,8127824
1773671014033,1773671014,62,632428,7495396,8127824
1773671016571,1773671016,50,631056,7496768,8127824
1773671018871,1773671018,73,626700,7501124,8127824
1773671020534,1773671020,63,626832,7500992,8127824
1773671022129,1773671022,57,625444,7502380,8127824
1773671023795,1773671023,25,626340,7501484,8127824
1773671025694,1773671025,61,625044,7502780,8127824
1773671027445,1773671027,50,624344,7503480,8127824
1773671028963,1773671028,65,625196,7502628,8127824
1773671031460,1773671031,51,625124,7502700,8127824
1773671033153,1773671033,25,623916,7503908,8127824
1773671035187,1773671035,51,619176,7508648,8127824
1773671036794,1773671036,64,617892,7509932,8127824
1773671038406,1773671038,84,618172,7509652,8127824
1773671040228,1773671040,54,617056,7510768,8127824
1773671041895,1773671041,50,616872,7510952,8127824
1773671043696,1773671043,63,617440,7510384,8127824
1773671045287,1773671045,62,616740,7511084,8127824
1773671047435,1773671047,53,617204,7510620,8127824
1773671049478,1773671049,64,615008,7512816,8127824
1773671051322,1773671051,51,612448,7515376,8127824
1773671052924,1773671052,62,612328,7515496,8127824
1773671054229,1773671054,26,588908,7538916,8127824
1773671055266,1773671055,2,539736,7588088,8127824
1773671056328,1773671056,29,570592,7557232,8127824
1773671057360,1773671057,33,582388,7545436,8127824
1773671058419,1773671058,100,590620,7537204,8127824
1773671063746,1773671063,75,571956,7555868,8127824
1773671066957,1773671066,50,572664,7555160,8127824
1773671069873,1773671069,25,577644,7550180,8127824
1773671073414,1773671073,75,576824,7551000,8127824
1773671077638,1773671077,55,576164,7551660,8127824
1773671081297,1773671081,50,578736,7549088,8127824
1773671085369,1773671085,66,578644,7549180,8127824
1773671091112,1773671091,50,575392,7552432,8127824
1773671096587,1773671096,50,578820,7549004,8127824
1773671099593,1773671099,50,576760,7551064,8127824
1773671102530,1773671102,50,575080,7552744,8127824
1773671106221,1773671106,50,578712,7549112,8127824
1773671109989,1773671109,50,574212,7553612,8127824
1773671114077,1773671114,50,576956,7550868,8127824
1773671117338,1773671117,27,577040,7550784,8127824
1773671121101,1773671121,27,577384,7550440,8127824
1773671125526,1773671125,50,578480,7549344,8127824
1773671128328,1773671128,50,576220,7551604,8127824
1773671131731,1773671131,51,576160,7551664,8127824
1773671135687,1773671135,50,579316,7548508,8127824
1773671138447,1773671138,51,580108,7547716,8127824
1773671141685,1773671141,65,578112,7549712,8127824
1773671145154,1773671145,75,578520,7549304,8127824
1773671150275,1773671150,75,579740,7548084,8127824
1773671154531,1773671154,75,579152,7548672,8127824
1773671160278,1773671160,75,579660,7548164,8127824
1773671162550,1773671162,75,578016,7549808,8127824
1773671166251,1773671166,50,580012,7547812,8127824
1773671172806,1773671172,75,577348,7550476,8127824
1773671176843,1773671176,50,579700,7548124,8127824
1773671184002,1773671184,50,576324,7551500,8127824
1773671190400,1773671190,50,577420,7550404,8127824
1773671194269,1773671194,51,577772,7550052,8127824
1773671197589,1773671197,61,577828,7549996,8127824
1773671200987,1773671200,51,577604,7550220,8127824
1773671203911,1773671203,50,578912,7548912,8127824
1773671207998,1773671208,75,579176,7548648,8127824
1773671212026,1773671212,75,576292,7551532,8127824
1773671215778,1773671215,51,578668,7549156,8127824
1773671219032,1773671219,50,578960,7548864,8127824
1773671222428,1773671222,26,579928,7547896,8127824
1773671224861,1773671224,25,579936,7547888,8127824
1773671227136,1773671227,36,577060,7550764,8127824
1773671229247,1773671229,67,580324,7547500,8127824
1773671231378,1773671231,43,579492,7548332,8127824
1773671232431,1773671232,25,569512,7558312,8127824
1773671233480,1773671233,32,546212,7581612,8127824
1773671234535,1773671234,28,567456,7560368,8127824
1773671235628,1773671235,1,569116,7558708,8127824
1773671236688,1773671236,0,569844,7557980,8127824
1773671237756,1773671237,1,570532,7557292,8127824
1773671238792,1773671238,2,571232,7556592,8127824
1773671239865,1773671239,2,571932,7555892,8127824
1773671240933,1773671240,2,573160,7554664,8127824
1773671241974,1773671241,1,573652,7554172,8127824
1773671243078,1773671243,0,573904,7553920,8127824
1773671244142,1773671244,2,574004,7553820,8127824
1773671245176,1773671245,1,574564,7553260,8127824
1773671246323,1773671246,1,575136,7552688,8127824
1773671247371,1773671247,4,576064,7551760,8127824
1773671248527,1773671248,2,577684,7550140,8127824
1773671249661,1773671249,1,578548,7549276,8127824
1773671250721,1773671250,1,578724,7549100,8127824
1773671251833,1773671251,0,579192,7548632,8127824
1773671252890,1773671252,26,577960,7549864,8127824
1773671253946,1773671253,27,580104,7547720,8127824
1773671255035,1773671255,9,578872,7548952,8127824
1773671256070,1773671256,1,580520,7547304,8127824
1773671257113,1773671257,2,580920,7546904,8127824
1773671258156,1773671258,2,581508,7546316,8127824
1773671259211,1773671259,0,582384,7545440,8127824
1773671260289,1773671260,1,583120,7544704,8127824
1773671261340,1773671261,1,584536,7543288,8127824
1773671262455,1773671262,2,583480,7544344,8127824
1773671263512,1773671263,0,583836,7543988,8127824
1773671264583,1773671264,8,586336,7541488,8127824
1773671265613,1773671265,15,586232,7541592,8127824
1773671266652,1773671266,5,586088,7541736,8127824
1773671267714,1773671267,2,587948,7539876,8127824
1773671268757,1773671268,1,588424,7539400,8127824
1773671269926,1773671269,1,588480,7539344,8127824
1773671271015,1773671271,2,589532,7538292,8127824
1773671272130,1773671272,1,586792,7541032,8127824
1773671273323,1773671273,2,587808,7540016,8127824
1773671274425,1773671274,1,588332,7539492,8127824
1773671275457,1773671275,1,588380,7539444,8127824
1773671276552,1773671276,1,589080,7538744,8127824
1773671277629,1773671277,3,589044,7538780,8127824
1773671278769,1773671278,0,589128,7538696,8127824
1773671279825,1773671279,0,589288,7538536,8127824
1773671280905,1773671280,0,589640,7538184,8127824
1773671282119,1773671282,0,589656,7538168,8127824
1773671283493,1773671283,14,589880,7537944,8127824
1773671284722,1773671284,3,590356,7537468,8127824
1773671285807,1773671285,11,590384,7537440,8127824
1773671286969,1773671286,17,590700,7537124,8127824
1773671288058,1773671288,2,590096,7537728,8127824
1773671289359,1773671289,6,590416,7537408,8127824
1773671290428,1773671290,5,590724,7537100,8127824
1773671291484,1773671291,8,590456,7537368,8127824
1773671292542,1773671292,7,590172,7537652,8127824
1773671293593,1773671293,3,590024,7537800,8127824
1773671294646,1773671294,8,589724,7538100,8127824
1773671295775,1773671295,12,589976,7537848,8127824
1773671296853,1773671296,2,589616,7538208,8127824
1773671297936,1773671297,4,589952,7537872,8127824
1773671298989,1773671298,7,590396,7537428,8127824
1773671300181,1773671300,10,591124,7536700,8127824
1773671301251,1773671301,12,590256,7537568,8127824
1773671302383,1773671302,5,590752,7537072,8127824
1773671303424,1773671303,2,592228,7535596,8127824
1773671304529,1773671304,75,592408,7535416,8127824
1773671305668,1773671305,12,592748,7535076,8127824
1773671306805,1773671306,5,592608,7535216,8127824
1773671307848,1773671307,7,588588,7539236,8127824
1773671308948,1773671308,4,589116,7538708,8127824
1773671310003,1773671310,5,588612,7539212,8127824
1773671311083,1773671311,3,588340,7539484,8127824
1773671312121,1773671312,3,587552,7540272,8127824
1773671313161,1773671313,1,586688,7541136,8127824
1773671314232,1773671314,13,586540,7541284,8127824
1773671315326,1773671315,14,586072,7541752,8127824
1773671316368,1773671316,1,585780,7542044,8127824
1773671317429,1773671317,1,586068,7541756,8127824
1773671318496,1773671318,3,586404,7541420,8127824
1773671319537,1773671319,1,587228,7540596,8127824
1773671320599,1773671320,2,587364,7540460,8127824
1773671321672,1773671321,2,587804,7540020,8127824
1773671322721,1773671322,2,587868,7539956,8127824
1773671323858,1773671323,3,588136,7539688,8127824
1773671324893,1773671324,2,588024,7539800,8127824
1773671325961,1773671325,2,587684,7540140,8127824
1773671327007,1773671327,1,587392,7540432,8127824
1773671328073,1773671328,0,587148,7540676,8127824
1773671329116,1773671329,1,586996,7540828,8127824
1773671330208,1773671330,0,586792,7541032,8127824
1773671331303,1773671331,1,587144,7540680,8127824
1773671332442,1773671332,1,586508,7541316,8127824
1773671333552,1773671333,0,586408,7541416,8127824
1773671334631,1773671334,1,587020,7540804,8127824
1773671335693,1773671335,1,587152,7540672,8127824
1773671336762,1773671336,2,586704,7541120,8127824
1773671337806,1773671337,1,587096,7540728,8127824
1773671338856,1773671338,2,588648,7539176,8127824
1773671339923,1773671339,41,588424,7539400,8127824
1773671340953,1773671340,13,589232,7538592,8127824
1773671341977,1773671341,8,589092,7538732,8127824
1773671342999,1773671343,2,589048,7538776,8127824
1773671344100,1773671344,1,588984,7538840,8127824
1773671345202,1773671345,2,588772,7539052,8127824
1773671346254,1773671346,4,588456,7539368,8127824
1773671347402,1773671347,2,588124,7539700,8127824
1773671348499,1773671348,2,587936,7539888,8127824
1773671349552,1773671349,0,588212,7539612,8127824
1773671350810,1773671350,1,588716,7539108,8127824
1773671351900,1773671351,1,589060,7538764,8127824
1773671352971,1773671352,1,589568,7538256,8127824
1773671354052,1773671354,2,588392,7539432,8127824
1773671355130,1773671355,1,587736,7540088,8127824
