timestamp_ms,epoch_s,cpu_percent,mem_used_kb,mem_available_kb,mem_total_kb
1773407709652,1773407709,0,527596,7600224,8127820
1773407710704,1773407710,25,529012,7598808,8127820
1773407711744,1773407711,25,531680,7596140,8127820
1773407712771,1773407712,25,544412,7583408,8127820
1773407713846,1773407713,25,546436,7581384,8127820
1773407714913,1773407714,25,549296,7578524,8127820
1773407716018,1773407716,26,545568,7582252,8127820
1773407717064,1773407717,3,542308,7585512,8127820
1773407718089,1773407718,27,543164,7584656,8127820
1773407719121,1773407719,27,543668,7584152,8127820
1773407720253,1773407720,26,544172,7583648,8127820
1773407721296,1773407721,25,544168,7583652,8127820
1773407722381,1773407722,26,544168,7583652,8127820
1773407723424,1773407723,27,544672,7583148,8127820
1773407724495,1773407724,25,544924,7582896,8127820
1773407725567,1773407725,25,545428,7582392,8127820
1773407726611,1773407726,25,546180,7581640,8127820
1773407727733,1773407727,25,546684,7581136,8127820
1773407728755,1773407728,25,547188,7580632,8127820
1773407729827,1773407729,25,547440,7580380,8127820
1773407730872,1773407730,28,547944,7579876,8127820
1773407731914,1773407731,24,548448,7579372,8127820
1773407732959,1773407732,26,548700,7579120,8127820
1773407733994,1773407733,25,548952,7578868,8127820
1773407735017,1773407735,27,552392,7575428,8127820
1773407736078,1773407736,26,558468,7569352,8127820
1773407737124,1773407737,32,562460,7565360,8127820
1773407738161,1773407738,27,563212,7564608,8127820
1773407739185,1773407739,26,556712,7571108,8127820
1773407740210,1773407740,25,562564,7565256,8127820
1773407741262,1773407741,25,555356,7572464,8127820
1773407742302,1773407742,25,562184,7565636,8127820
1773407743384,1773407743,26,564832,7562988,8127820
1773407744405,1773407744,27,557924,7569896,8127820
1773407745442,1773407745,25,563548,7564272,8127820
1773407746496,1773407746,25,563832,7563988,8127820
1773407747519,1773407747,27,561396,7566424,8127820
1773407748542,1773407748,25,554444,7573376,8127820
1773407749621,1773407749,27,565280,7562540,8127820
1773407750683,1773407750,26,567740,7560080,8127820
1773407751709,1773407751,28,560148,7567672,8127820
1773407752735,1773407752,25,556976,7570844,8127820
1773407753777,1773407753,31,561452,7566368,8127820
1773407754860,1773407754,29,566984,7560836,8127820
1773407755888,1773407755,25,568556,7559264,8127820
1773407756910,1773407756,25,569084,7558736,8127820
1773407757942,1773407757,25,568900,7558920,8127820
1773407758987,1773407758,25,565404,7562416,8127820
1773407760023,1773407760,25,558972,7568848,8127820
1773407761049,1773407761,35,568012,7559808,8127820
1773407762083,1773407762,25,569372,7558448,8127820
1773407763126,1773407763,26,568248,7559572,8127820
1773407764149,1773407764,27,558288,7569532,8127820
1773407765190,1773407765,25,569348,7558472,8127820
1773407766220,1773407766,24,569648,7558172,8127820
1773407767253,1773407767,26,570276,7557544,8127820
1773407768273,1773407768,25,570012,7557808,8127820
1773407769318,1773407769,25,569844,7557976,8127820
1773407770341,1773407770,26,569864,7557956,8127820
1773407771367,1773407771,25,569556,7558264,8127820
1773407772401,1773407772,26,569512,7558308,8127820
1773407773444,1773407773,26,569296,7558524,8127820
1773407774471,1773407774,25,569580,7558240,8127820
1773407775508,1773407775,24,569236,7558584,8127820
1773407776573,1773407776,26,569364,7558456,8127820
1773407777642,1773407777,25,569152,7558668,8127820
1773407778700,1773407778,25,569628,7558192,8127820
1773407779771,1773407779,26,569232,7558588,8127820
1773407780800,1773407780,26,569452,7558368,8127820
1773407781840,1773407781,25,569592,7558228,8127820
1773407782920,1773407782,24,569364,7558456,8127820
1773407783985,1773407783,28,569760,7558060,8127820
1773407785037,1773407785,25,569984,7557836,8127820
1773407786067,1773407786,25,569516,7558304,8127820
1773407787089,1773407787,27,569796,7558024,8127820
1773407788125,1773407788,27,569700,7558120,8127820
1773407789166,1773407789,25,569940,7557880,8127820
1773407790230,1773407790,25,569780,7558040,8127820
1773407791265,1773407791,25,569504,7558316,8127820
1773407792342,1773407792,25,570040,7557780,8127820
1773407793366,1773407793,26,569608,7558212,8127820
1773407794393,1773407794,25,570200,7557620,8127820
1773407795439,1773407795,25,569844,7557976,8127820
1773407796483,1773407796,25,569948,7557872,8127820
1773407797505,1773407797,26,569208,7558612,8127820
1773407798562,1773407798,25,569716,7558104,8127820
1773407799663,1773407799,25,569956,7557864,8127820
1773407800702,1773407800,25,569976,7557844,8127820
1773407801776,1773407801,26,569420,7558400,8127820
1773407802798,1773407802,24,569872,7557948,8127820
1773407803832,1773407803,25,569568,7558252,8127820
1773407804873,1773407804,25,569616,7558204,8127820
1773407805927,1773407805,25,570012,7557808,8127820
1773407807012,1773407807,25,569772,7558048,8127820
1773407808035,1773407808,25,570304,7557516,8127820
1773407809081,1773407809,25,569864,7557956,8127820
1773407810103,1773407810,25,571132,7556688,8127820
1773407811152,1773407811,25,569972,7557848,8127820
1773407812174,1773407812,26,569896,7557924,8127820
1773407813282,1773407813,25,570264,7557556,8127820
1773407814324,1773407814,25,569764,7558056,8127820
1773407815360,1773407815,25,570396,7557424,8127820
1773407816410,1773407816,25,571956,7555864,8127820
1773407817428,1773407817,25,571236,7556584,8127820
1773407818460,1773407818,24,571340,7556480,8127820
1773407819524,1773407819,25,571196,7556624,8127820
1773407820556,1773407820,26,571164,7556656,8127820
1773407821606,1773407821,25,570916,7556904,8127820
1773407822636,1773407822,25,571012,7556808,8127820
1773407823671,1773407823,25,570812,7557008,8127820
1773407824786,1773407824,25,570796,7557024,8127820
1773407825847,1773407825,25,570648,7557172,8127820
1773407826875,1773407826,26,570440,7557380,8127820
1773407827935,1773407827,26,570152,7557668,8127820
1773407829009,1773407829,25,570320,7557500,8127820
1773407830092,1773407830,25,570128,7557692,8127820
1773407831135,1773407831,24,570360,7557460,8127820
1773407832178,1773407832,25,570456,7557364,8127820
1773407833201,1773407833,25,570516,7557304,8127820
1773407834227,1773407834,25,570460,7557360,8127820
1773407835248,1773407835,25,570644,7557176,8127820
1773407836270,1773407836,25,570020,7557800,8127820
1773407837307,1773407837,25,569988,7557832,8127820
1773407838424,1773407838,25,570180,7557640,8127820
1773407839446,1773407839,25,570116,7557704,8127820
1773407840467,1773407840,25,570476,7557344,8127820
1773407841545,1773407841,25,570716,7557104,8127820
1773407842575,1773407842,25,570724,7557096,8127820
1773407843595,1773407843,25,570980,7556840,8127820
1773407844638,1773407844,25,570412,7557408,8127820
1773407845672,1773407845,25,570472,7557348,8127820
1773407846716,1773407846,25,570816,7557004,8127820
1773407847754,1773407847,25,570588,7557232,8127820
1773407848775,1773407848,25,571136,7556684,8127820
1773407849820,1773407849,25,571232,7556588,8127820
1773407850850,1773407850,25,571152,7556668,8127820
1773407851878,1773407851,25,571544,7556276,8127820
1773407852948,1773407852,25,571568,7556252,8127820
1773407853989,1773407853,28,571100,7556720,8127820
1773407855017,1773407855,26,571216,7556604,8127820
1773407856162,1773407856,24,571104,7556716,8127820
1773407857221,1773407857,25,571136,7556684,8127820
1773407858241,1773407858,25,571100,7556720,8127820
1773407859267,1773407859,24,571084,7556736,8127820
1773407860331,1773407860,25,571004,7556816,8127820
1773407861369,1773407861,25,571740,7556080,8127820
1773407862399,1773407862,25,571152,7556668,8127820
1773407863428,1773407863,27,571288,7556532,8127820
1773407864508,1773407864,25,571052,7556768,8127820
1773407865558,1773407865,25,571152,7556668,8127820
1773407866607,1773407866,25,571112,7556708,8127820
1773407867631,1773407867,25,571068,7556752,8127820
1773407868654,1773407868,25,571360,7556460,8127820
1773407869731,1773407869,26,571332,7556488,8127820
1773407870773,1773407870,25,570928,7556892,8127820
1773407871821,1773407871,28,572652,7555168,8127820
1773407872857,1773407872,25,573176,7554644,8127820
1773407873879,1773407873,25,572944,7554876,8127820
1773407874906,1773407874,25,572716,7555104,8127820
1773407875929,1773407875,25,572540,7555280,8127820
1773407876982,1773407876,25,571764,7556056,8127820
1773407878046,1773407878,25,571824,7555996,8127820
1773407879116,1773407879,25,571480,7556340,8127820
1773407880161,1773407880,26,571808,7556012,8127820
1773407881199,1773407881,25,571832,7555988,8127820
1773407882236,1773407882,25,571640,7556180,8127820
1773407883264,1773407883,25,571084,7556736,8127820
1773407884323,1773407884,25,570576,7557244,8127820
1773407885439,1773407885,25,570464,7557356,8127820
1773407886484,1773407886,25,571032,7556788,8127820
1773407887534,1773407887,25,570700,7557120,8127820
1773407888559,1773407888,25,570916,7556904,8127820
1773407889595,1773407889,25,571532,7556288,8127820
