timestamp_ms,epoch_s,cpu_percent,mem_used_kb,mem_available_kb,mem_total_kb
1773417531129,1773417531,1,543744,7584076,8127820
1773417532193,1773417532,0,543744,7584076,8127820
1773417533272,1773417533,0,544248,7583572,8127820
1773417534318,1773417534,77,555772,7572048,8127820
1773417535370,1773417535,100,598172,7529648,8127820
1773417536787,1773417536,100,594872,7532948,8127820
1773417537849,1773417537,0,592072,7535748,8127820
1773417540372,1773417540,100,576684,7551136,8127820
1773417541424,1773417541,100,576680,7551140,8127820
1773417542601,1773417542,100,576760,7551060,8127820
1773417543663,1773417543,100,577428,7550392,8127820
1773417544746,1773417544,100,577676,7550144,8127820
1773417545795,1773417545,100,577676,7550144,8127820
1773417546823,1773417546,100,578180,7549640,8127820
1773417547917,1773417547,100,578684,7549136,8127820
1773417548953,1773417548,100,579188,7548632,8127820
1773417550000,1773417550,100,579188,7548632,8127820
1773417551033,1773417551,100,579940,7547880,8127820
1773417552073,1773417552,100,580444,7547376,8127820
1773417553125,1773417553,100,580524,7547296,8127820
1773417554158,1773417554,100,580776,7547044,8127820
1773417555191,1773417555,100,581200,7546620,8127820
1773417556249,1773417556,100,581704,7546116,8127820
1773417557283,1773417557,100,582208,7545612,8127820
1773417558345,1773417558,100,582208,7545612,8127820
1773417559374,1773417559,100,582960,7544860,8127820
1773417560448,1773417560,100,583212,7544608,8127820
1773417561487,1773417561,100,583464,7544356,8127820
1773417562554,1773417562,100,583968,7543852,8127820
1773417563589,1773417563,100,584048,7543772,8127820
1773417564627,1773417564,100,584724,7543096,8127820
1773417565664,1773417565,100,584724,7543096,8127820
1773417566773,1773417566,100,584976,7542844,8127820
1773417567804,1773417567,100,585476,7542344,8127820
1773417568840,1773417568,100,585980,7541840,8127820
1773417569873,1773417569,100,586804,7541016,8127820
1773417570927,1773417570,100,586976,7540844,8127820
1773417571977,1773417571,100,587052,7540768,8127820
1773417573024,1773417573,100,587048,7540772,8127820
1773417574090,1773417574,100,589460,7538360,8127820
1773417575129,1773417575,100,590216,7537604,8127820
1773417576173,1773417576,100,588256,7539564,8127820
1773417577211,1773417577,100,587932,7539888,8127820
1773417578273,1773417578,100,588092,7539728,8127820
1773417579337,1773417579,100,587840,7539980,8127820
1773417580374,1773417580,100,587840,7539980,8127820
1773417581451,1773417581,100,588088,7539732,8127820
1773417582482,1773417582,100,587916,7539904,8127820
