timestamp_ms,epoch_s,cpu_percent,mem_used_kb,mem_available_kb,mem_total_kb
1773510186562,1773510186,0,471528,7656288,8127816
1773510187627,1773510187,26,477528,7650288,8127816
1773510188655,1773510188,26,477308,7650508,8127816
1773510189704,1773510189,26,477308,7650508,8127816
1773510190770,1773510190,25,477560,7650256,8127816
1773510191795,1773510191,25,478312,7649504,8127816
1773510192846,1773510192,25,478816,7649000,8127816
1773510193888,1773510193,26,478816,7649000,8127816
1773510194914,1773510194,27,478816,7649000,8127816
1773510195941,1773510195,27,479320,7648496,8127816
1773510196967,1773510196,25,479636,7648180,8127816
1773510198018,1773510198,26,479804,7648012,8127816
1773510199044,1773510199,25,479632,7648184,8127816
1773510200078,1773510200,25,480116,7647700,8127816
1773510201114,1773510201,25,479864,7647952,8127816
1773510202300,1773510202,25,479764,7648052,8127816
1773510203390,1773510203,25,479588,7648228,8127816
1773510204443,1773510204,25,479592,7648224,8127816
1773510205524,1773510205,25,484520,7643296,8127816
1773510206592,1773510206,26,489948,7637868,8127816
1773510207631,1773510207,24,487384,7640432,8127816
1773510208654,1773510208,26,485108,7642708,8127816
1773510209693,1773510209,26,490484,7637332,8127816
1773510210728,1773510210,27,482832,7644984,8127816
1773510211768,1773510211,26,488496,7639320,8127816
1773510212816,1773510212,27,480932,7646884,8127816
1773510213844,1773510213,26,486532,7641284,8127816
1773510214872,1773510214,28,491512,7636304,8127816
1773510215913,1773510215,25,483564,7644252,8127816
1773510216965,1773510216,26,489640,7638176,8127816
1773510218010,1773510218,24,488948,7638868,8127816
1773510219056,1773510219,25,485776,7642040,8127816
1773510220084,1773510220,27,480392,7647424,8127816
1773510221113,1773510221,25,489832,7637984,8127816
1773510222164,1773510222,26,490728,7637088,8127816
1773510223191,1773510223,26,487368,7640448,8127816
1773510224228,1773510224,27,484480,7643336,8127816
1773510225268,1773510225,26,486076,7641740,8127816
1773510226291,1773510226,26,486524,7641292,8127816
1773510227329,1773510227,25,484964,7642852,8127816
1773510228350,1773510228,26,485764,7642052,8127816
1773510229396,1773510229,28,489048,7638768,8127816
1773510230419,1773510230,27,488472,7639344,8127816
1773510231443,1773510231,26,481944,7645872,8127816
1773510232524,1773510232,25,490156,7637660,8127816
1773510233583,1773510233,27,484012,7643804,8127816
1773510234604,1773510234,28,490484,7637332,8127816
1773510235638,1773510235,25,489356,7638460,8127816
1773510236670,1773510236,25,493160,7634656,8127816
1773510237697,1773510237,25,493148,7634668,8127816
1773510238728,1773510238,25,493040,7634776,8127816
1773510239750,1773510239,25,493120,7634696,8127816
1773510240773,1773510240,25,493048,7634768,8127816
1773510241806,1773510241,26,493044,7634772,8127816
1773510242836,1773510242,26,493088,7634728,8127816
1773510243867,1773510243,26,493112,7634704,8127816
1773510244911,1773510244,25,492996,7634820,8127816
1773510245940,1773510245,25,493164,7634652,8127816
1773510246967,1773510246,28,493048,7634768,8127816
1773510248005,1773510248,27,493172,7634644,8127816
1773510249028,1773510249,25,493216,7634600,8127816
1773510250056,1773510250,25,493212,7634604,8127816
1773510251107,1773510251,25,492940,7634876,8127816
1773510252136,1773510252,26,492760,7635056,8127816
1773510253193,1773510253,25,492984,7634832,8127816
1773510254226,1773510254,25,492860,7634956,8127816
1773510255258,1773510255,25,492600,7635216,8127816
1773510256283,1773510256,25,493040,7634776,8127816
1773510257322,1773510257,26,493220,7634596,8127816
1773510258394,1773510258,25,493468,7634348,8127816
1773510259415,1773510259,24,493208,7634608,8127816
1773510260444,1773510260,25,493100,7634716,8127816
1773510261510,1773510261,25,492924,7634892,8127816
1773510262535,1773510262,24,493280,7634536,8127816
1773510263555,1773510263,25,493084,7634732,8127816
1773510264584,1773510264,27,493068,7634748,8127816
1773510265695,1773510265,25,493288,7634528,8127816
1773510266718,1773510266,25,493236,7634580,8127816
1773510267760,1773510267,26,493504,7634312,8127816
1773510268793,1773510268,25,493420,7634396,8127816
1773510269865,1773510269,25,493708,7634108,8127816
1773510270891,1773510270,25,493728,7634088,8127816
1773510271914,1773510271,24,493536,7634280,8127816
1773510272940,1773510272,25,493312,7634504,8127816
1773510273964,1773510273,25,493164,7634652,8127816
1773510274996,1773510274,26,493248,7634568,8127816
1773510276048,1773510276,25,493152,7634664,8127816
1773510277070,1773510277,27,493200,7634616,8127816
1773510278091,1773510278,25,493344,7634472,8127816
1773510279112,1773510279,25,493532,7634284,8127816
1773510280175,1773510280,25,493724,7634092,8127816
1773510281256,1773510281,26,493688,7634128,8127816
1773510282277,1773510282,25,493404,7634412,8127816
1773510283328,1773510283,25,493776,7634040,8127816
1773510284373,1773510284,25,493816,7634000,8127816
1773510285429,1773510285,25,493968,7633848,8127816
1773510286450,1773510286,25,494096,7633720,8127816
1773510287476,1773510287,26,493892,7633924,8127816
1773510288504,1773510288,25,493916,7633900,8127816
1773510289561,1773510289,25,493692,7634124,8127816
1773510290597,1773510290,26,494028,7633788,8127816
1773510291656,1773510291,25,493584,7634232,8127816
1773510292680,1773510292,25,493368,7634448,8127816
1773510293704,1773510293,25,494188,7633628,8127816
1773510294733,1773510294,25,493812,7634004,8127816
1773510295767,1773510295,25,493492,7634324,8127816
1773510296825,1773510296,25,493624,7634192,8127816
1773510297847,1773510297,25,493900,7633916,8127816
1773510298867,1773510298,25,493972,7633844,8127816
1773510299917,1773510299,26,494036,7633780,8127816
1773510300946,1773510300,25,494124,7633692,8127816
1773510301996,1773510301,25,493944,7633872,8127816
1773510303020,1773510303,27,494192,7633624,8127816
1773510304042,1773510304,25,494508,7633308,8127816
1773510305081,1773510305,27,494352,7633464,8127816
1773510306121,1773510306,25,494392,7633424,8127816
1773510307199,1773510307,25,494364,7633452,8127816
1773510308229,1773510308,23,494744,7633072,8127816
1773510309271,1773510309,26,494808,7633008,8127816
1773510310293,1773510310,25,494776,7633040,8127816
1773510311334,1773510311,25,495124,7632692,8127816
1773510312393,1773510312,25,495060,7632756,8127816
1773510313442,1773510313,26,495088,7632728,8127816
1773510314483,1773510314,25,495368,7632448,8127816
1773510315569,1773510315,25,495492,7632324,8127816
1773510316591,1773510316,25,496256,7631560,8127816
1773510317634,1773510317,24,496156,7631660,8127816
1773510318680,1773510318,25,496504,7631312,8127816
1773510319722,1773510319,25,496984,7630832,8127816
1773510320752,1773510320,25,496948,7630868,8127816
1773510321814,1773510321,25,496260,7631556,8127816
1773510322839,1773510322,26,496436,7631380,8127816
1773510323901,1773510323,25,496040,7631776,8127816
1773510324941,1773510324,24,495784,7632032,8127816
1773510325980,1773510325,26,495828,7631988,8127816
1773510327011,1773510327,25,495560,7632256,8127816
1773510328042,1773510328,25,495228,7632588,8127816
1773510329076,1773510329,25,495176,7632640,8127816
1773510330118,1773510330,25,495096,7632720,8127816
1773510331167,1773510331,25,495372,7632444,8127816
1773510332206,1773510332,25,495440,7632376,8127816
1773510333233,1773510333,25,495492,7632324,8127816
1773510334255,1773510334,25,496332,7631484,8127816
1773510335286,1773510335,28,496344,7631472,8127816
1773510336486,1773510336,25,496388,7631428,8127816
1773510337515,1773510337,28,496492,7631324,8127816
1773510338536,1773510338,26,496808,7631008,8127816
