timestamp_ms,epoch_s,cpu_percent,mem_used_kb,mem_available_kb,mem_total_kb
1773053793939,1773053793,0,553228,7574600,8127828
1773053794968,1773053794,15,555964,7571864,8127828
1773053796005,1773053796,26,556464,7571364,8127828
1773053797043,1773053797,25,556716,7571112,8127828
1773053798076,1773053798,26,556496,7571332,8127828
1773053799115,1773053799,27,556388,7571440,8127828
1773053800147,1773053800,25,555948,7571880,8127828
1773053801175,1773053801,26,555628,7572200,8127828
1773053802202,1773053802,25,555804,7572024,8127828
1773053803255,1773053803,26,555412,7572416,8127828
1773053804318,1773053804,25,555636,7572192,8127828
1773053805381,1773053805,25,554868,7572960,8127828
1773053806400,1773053806,26,554808,7573020,8127828
1773053807434,1773053807,26,554264,7573564,8127828
1773053808471,1773053808,25,553520,7574308,8127828
1773053809493,1773053809,26,553536,7574292,8127828
1773053810568,1773053810,25,552488,7575340,8127828
1773053811648,1773053811,25,555340,7572488,8127828
1773053812698,1773053812,26,561076,7566752,8127828
1773053813721,1773053813,27,558772,7569056,8127828
1773053814753,1773053814,28,555936,7571892,8127828
1773053815777,1773053815,26,549280,7578548,8127828
1773053816802,1773053816,26,555496,7572332,8127828
1773053817846,1773053817,28,561932,7565896,8127828
1773053818870,1773053818,26,555468,7572360,8127828
1773053819930,1773053819,26,561768,7566060,8127828
1773053820969,1773053820,25,555040,7572788,8127828
1773053822064,1773053822,27,561340,7566488,8127828
1773053823132,1773053823,27,562072,7565756,8127828
1773053824163,1773053824,26,560112,7567716,8127828
1773053825186,1773053825,25,553832,7573996,8127828
1773053826214,1773053826,26,556296,7571532,8127828
1773053827257,1773053827,26,553820,7574008,8127828
1773053828364,1773053828,27,555188,7572640,8127828
1773053829419,1773053829,27,564764,7563064,8127828
1773053830441,1773053830,26,564900,7562928,8127828
1773053831470,1773053831,27,564008,7563820,8127828
1773053832496,1773053832,26,554816,7573012,8127828
1773053833524,1773053833,25,555868,7571960,8127828
1773053834558,1773053834,26,561432,7566396,8127828
1773053835589,1773053835,26,562368,7565460,8127828
1773053836629,1773053836,27,562332,7565496,8127828
1773053837688,1773053837,26,564236,7563592,8127828
1773053838713,1773053838,27,565516,7562312,8127828
1773053839747,1773053839,26,566176,7561652,8127828
1773053840784,1773053840,24,568176,7559652,8127828
1773053841808,1773053841,26,568216,7559612,8127828
1773053842831,1773053842,25,568376,7559452,8127828
1773053843910,1773053843,28,568168,7559660,8127828
1773053844937,1773053844,28,568612,7559216,8127828
1773053845961,1773053845,28,568864,7558964,8127828
1773053846987,1773053846,26,568640,7559188,8127828
1773053848011,1773053848,26,568544,7559284,8127828
1773053849045,1773053849,27,568608,7559220,8127828
1773053850071,1773053850,26,569072,7558756,8127828
1773053851171,1773053851,26,569144,7558684,8127828
